Year,Age,Total Invested,Conservative (11%),Moderate (12%),Optimistic (14%)
1,26,180000,191093.87813509797,192139.92064993418,194251.3108473101
2,27,360000,404300.9174520196,408647.9925258509,417512.506632708
3,28,540000,642180.0272273228,652614.7071412452,674115.9824399138
4,29,720000,907586.2307409778,927522.5076889346,969041.1420257771
5,30,900000,1203704.9312442236,1237295.4983245982,1308011.023408438
6,31,1080000,1534090.1431453438,1586355.4578317003,1697603.3547168956
7,32,1260000,1902707.1472637714,1979684.957221155,2145378.195346506
8,33,1440000,2313980.0821005506,2422898.482222469,2660024.639303653
9,34,1620000,2772845.042315231,2922322.5758869722,3251529.427525608
10,35,1800000,3284809.3216967187,3485086.1452791076,3931370.7411063807
11,36,1980000,3856017.5116617545,4119222.2213165755,4712740.9359961655
12,37,2160000,4493325.248594718,4833782.624305264,5610802.541352783
13,38,2340000,5204381.495143772,5638967.171934106,6642982.489206395
14,39,2520000,5997720.343012819,6546269.274077771,7829310.284979403
15,40,2700000,6882863.439065725,7568639.992664608,9192806.68107801
16,41,2880000,7870434.2640601015,8720672.908442264,10759930.395786624
17,42,3060000,8972285.635583175,10018812.43347644,12561091.546068486
18,43,3240000,10201641.965479001,11481588.542888578,14631241.757462539
19,44,3420000,11573257.979139592,13129881.276453236,17010552.402189802
20,45,3600000,13103595.80160771,14987218.785618538,19745194.126714833
